/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:12<00:00,  4.24s/it]
RANK-0 training started !
/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:04<00:00,  1.64s/it]
  0%|                                                                                                                                 | 0/16 [00:00<?, ?it/s]/pfs/rl-train/wenhaoli/spotlight/train.py:332: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  length = torch.tensor(length, dtype=torch.int64, device=local_rank)
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [01:15<00:00,  4.70s/it]
layer:     0 | step:   148 | loss: 0.579 | iou: 0.126
layer:     0 | step:   149 | loss: 0.593 | iou: 0.136
layer:     0 | step:   150 | loss: 0.584 | iou: 0.131
layer:     0 | step:   151 | loss: 0.588 | iou: 0.144
layer:     0 | step:   152 | loss: 0.584 | iou: 0.130
layer:     0 | step:   153 | loss: 0.578 | iou: 0.155
layer:     0 | step:   154 | loss: 0.572 | iou: 0.145
layer:     0 | step:   155 | loss: 0.581 | iou: 0.144
layer:     0 | step:   156 | loss: 0.563 | iou: 0.150
layer:     0 | step:   157 | loss: 0.578 | iou: 0.153
layer:     0 | step:   158 | loss: 0.580 | iou: 0.134
layer:     0 | step:   159 | loss: 0.578 | iou: 0.139
layer:     0 | step:   160 | loss: 0.582 | iou: 0.143
layer:     0 | step:   161 | loss: 0.589 | iou: 0.168
layer:     0 | step:   162 | loss: 0.567 | iou: 0.156
layer:     0 | step:   163 | loss: 0.545 | iou: 0.158
layer:     0 | step:   164 | loss: 0.570 | iou: 0.130
layer:     0 | step:   165 | loss: 0.584 | iou: 0.163
layer:     0 | step:   166 | loss: 0.588 | iou: 0.141
layer:     0 | step:   167 | loss: 0.591 | iou: 0.129
layer:     0 | step:   168 | loss: 0.577 | iou: 0.144
layer:     0 | step:   169 | loss: 0.590 | iou: 0.140
layer:     0 | step:   170 | loss: 0.585 | iou: 0.151
layer:     0 | step:   171 | loss: 0.573 | iou: 0.164
layer:     0 | step:   172 | loss: 0.570 | iou: 0.136
layer:     0 | step:   173 | loss: 0.558 | iou: 0.149
layer:     0 | step:   174 | loss: 0.588 | iou: 0.121
layer:     0 | step:   175 | loss: 0.568 | iou: 0.145
layer:     0 | step:   176 | loss: 0.579 | iou: 0.144
layer:     0 | step:   177 | loss: 0.559 | iou: 0.156
layer:     0 | step:   178 | loss: 0.579 | iou: 0.162
layer:     0 | step:   179 | loss: 0.562 | iou: 0.144
layer:     0 | step:   180 | loss: 0.570 | iou: 0.151
layer:     0 | step:   181 | loss: 0.565 | iou: 0.132
layer:     0 | step:   182 | loss: 0.523 | iou: 0.155
layer:     0 | step:   183 | loss: 0.541 | iou: 0.144
layer:     0 | step:   184 | loss: 0.572 | iou: 0.167
layer:     0 | step:   185 | loss: 0.571 | iou: 0.153
layer:     0 | step:   186 | loss: 0.562 | iou: 0.139
layer:     0 | step:   187 | loss: 0.574 | iou: 0.145
